id,year,name,title,subtitle,platform,video,thumbnail,poster,url,github
1,2025,resumes,RESUMES,"small, medium, and large",,,https://www.johndimm.com/images/resumes_thumb.png,https://www.johndimm.com/images/resumes.png,,
2,2025,longtail,LONG TAIL AND COLLABORATIONS,browse the collaboration graph of movies and tv,,https://www.youtube.com/watch?v=9v4YJd33IIk,longtail.png,longtail.png,https://longtailhair.vercel.app/,https://github.com/johndimm/longtailhair
3,2025,ebaycomicssold,EBAY COMICS SOLD,analyze recent ebay listings on the fly,,,ebay-comics-sold.png,ebay-comics-sold.png,https://ebay-comics-sold.vercel.app/,https://ebay-comics-sold.vercel.app/
4,2024,comics,SILVER AGE,a fantastic collection of Marvel comics from the 60's,,,silverage.png,silverage.png,https://silverage.vercel.app/,https://github.com/johndimm/silverage
5,2020,collaboration,HEADLINERS AND SIDEMEN,browse the collaboration graph of albums,,,https://www.johndimm.com/images/collaboration_thumb.png,https://www.johndimm.com/images/collaboration_music.png,https://headliners-and-sidemen.vercel.app/,https://github.com/johndimm/headliners-and-sidemen/
6,2020,filterpanel,FILTERPANEL,generates a filterpanel from a csv file,,,https://www.johndimm.com/images/filterpanel_thumb.png,https://www.johndimm.com/images/filterpanel.png,https://filterpanel-csv.vercel.app/,https://github.com/johndimm/filterpanel
7,2020,breakdown,BREAKDOWN FOR EMPOWER,google chrome extension,,,https://www.johndimm.com/images/breakdown_thumb.png,,https://chromewebstore.google.com/detail/breakdown-for-empower-for/npkcbabhgmplkmaaljpcbombbgkggilm?pli=1,https://github.com/johndimm/breakdown
8,2020,whatlooksgood,WHAT LOOKS GOOD,built using the yelp dataset challenge,,,https://www.johndimm.com/images/WhatLooksGood_screenshot.png,https://www.johndimm.com/images/WhatLooksGood_screenshot.png,https://www.johndimm.com/yelp_db_caption/app/,https://github.com/johndimm/WhatLooksGood
9,2014,talkshow,TALKSHOW STORY ILLUSTRATOR,shows pictures of what you are talking about,,,https://www.johndimm.com/images/talkshow_thumb.png,https://www.johndimm.com/images/talkshow.png,https://johndimm.com/TalkShow/,https:/github.com/johndimm/TalkShow
10,2014,funwithspeech,FUN WITH SPEECH,talk given at jquery conference,,http://youtu.be/rs5RoqQCmzE,https://www.johndimm.com/images/funwithspeech_thumb.png,https://www.johndimm.com/images/funwithspeech.png,https://www.johndimm.com/FunWithSpeech/,https://github.com/johndimm/FunWithSpeech
11,2012,translatingtelephone,TRANSLATING TELEPHONE,multi-lingual conferencing with WebRTC,,https://www.youtube.com/watch?v=mBKE6dU4V3o,https://www.johndimm.com/images/translatingtelephone_thumb.png,https://www.johndimm.com/images/translatingtelephone.png,,
12,2012,interpreter,INTERPRETER,hands-free translation,,,https://www.johndimm.com/images/interpreter_thumb.png,https://www.johndimm.com/images/interpreter.png,https://dprhcp108.doteasy.com/~johndimm/interpreter/,https://github.com/johndimm/Interpreter